Title,Description,ReleaseDate
Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.", 2010
Killers,"A vacationing woman meets her ideal man, leading to a swift marriage. Back at home, however, their idyllic life is upset when they discover their neighbors could be assassins who have been contracted to kill the couple.", 2010
Saw 3D: The Final Chapter,"As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self", 2010
Cop Out,"Jimmy's rare baseball card is robbed. Since it's his only hope to pay for his daughter's upcoming wedding, he recruits his cop partner Paul to track down the robber, a memorabilia", 2010
Cats & Dogs: The Revenge of Kitty Galore,The ongoing war between the canine and feline species is put on hold when they join forces to thwart a rogue cat spy with her own sinister plans for conquest., 2010
Edge of Darkness,"As homicide detective Thomas Craven investigates the death of his activist daughter, he uncovers not only her secret life, but a corporate cover", 2010
Gulliver's Travels,"Travel writer Lemuel Gulliver takes an assignment in Bermuda, but ends up on the island of Liliput, where he towers over its tiny citizens.", 2010
Death at a Funeral,A funeral ceremony turns into a debacle of exposed family secrets and misplaced bodies., 2010
Step Up 3D,A tight, 2010
The Last Exorcism,A troubled evangelical minister agrees to let his last exorcism be filmed by a documentary crew., 2010
Legion,"When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope.", 2010
Burlesque,A small, 2010
The Crazies,About the inhabitants of a small Iowa town suddenly plagued by insanity and then death after a mysterious toxin contaminates their water supply., 2010
For Colored Girls,"Each of the women portray one of the characters represented in the collection of twenty poems, revealing different issues that impact women in general and women of color in particular.", 2010
The Back-up Plan,"A woman conceives twins through artificial insemination, only to meet the man of her dreams on the very same day.", 2010
Vampires Suck,A spoof of vampire, 2010
The American,An assassin hides out in Italy for one last assignment., 2010
Green Zone,Discovering covert and faulty intelligence causes a U.S. Army officer to go rogue as he hunts for Weapons of Mass Destruction in an unstable region., 2010
Marmaduke,"A suburban family moves to a new neighborhood with their large yet lovable Great Dane, who has a tendency to wreak havoc in his own oblivious way.", 2010
Devil,A group of people are trapped in an elevator and the Devil is mysteriously amongst them., 2010
Hereafter,A drama centered on three people , 2010
When in Rome,"Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from a reputed fountain of love, and is then aggressively pursued by a band of suitors.", 2010
Love & Other Drugs,A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh., 2010
She's Out of My League,"An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.", 2010
Scott Pilgrim vs. the World,Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart., 2010
The Debt,"In 1965, three Mossad agents cross into East Berlin to apprehend a notorious Nazi war criminal. Thirty years later, the secrets the agents share come back to haunt them.", 2010
Charlie St. Cloud,"Charlie's brother, Sam, dies in a car crash that Charlie survives. Charlie is given the gift of seeing his dead brother, but when the girl he falls in love with's life is at risk, he must choose between his girlfriend and his brother.", 2010
Morning Glory,An upstart television producer accepts the challenge of reviving a struggling morning show program with warring co, 2010
How Do You Know,"After being cut from the USA softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball", 2010
Nanny McPhee Returns,"Nanny McPhee arrives to help a harried young mother who is trying to run the family farm while her husband is away at war, though she uses her magic to teach the woman's children and their two spoiled cousins five new lessons.", 2010
The Switch,"Seven years after the fact, a man comes to the realization that he was the sperm donor for his best friend's boy.", 2010
Machete,After being set, 2010
Ramona and Beezus,"An adventurous young girl uses her imagination to escape her reality, that is quickly spinning out of reach.", 2010
You Again,"When a young woman realizes her brother is about to marry the girl who bullied her in high school, she sets out to expose the fianc", 2010
Alpha and Omega,"Two young wolves at opposite ends of their pack's social order are thrown together into a foreign land and need each other to return home, but love complicates everything.", 2010
Piranha 3D,After a sudden underwater tremor sets free scores of the prehistoric man, 2010
Lottery Ticket,Kevin Carson is a young man living in the projects who has to survive a three, 2010
The Spy Next Door,Former CIA spy Bob Ho takes on his toughest assignment to date, 2010
Don't Be Afraid of the Dark,A young girl sent to live with her father and his new girlfriend believes that she has released creatures from a sealed ash pit in the basement of her new home., 2010
The Losers,"A CIA special forces team are betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA.", 2010
From Paris with Love,"In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city.", 2010
Faster,An ex, 2010
Just Wright,A physical therapist falls for the basketball player she is helping recover from a career, 2010
Skyline,"Strange lights descend on the city of Los Angeles, drawing people outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth.", 2010
The Next Three Days,A married couple's life is turned upside down when the wife is accused of a murder., 2010
The Kids Are All Right,Two children conceived by artificial insemination bring their biological father into their non, 2010
Our Family Wedding,"The weeks leading up to a young couple's wedding are comic and stressful, especially as their respective fathers try to lay their long standing feud to rest.", 2010
Country Strong,A rising country, 2010
The Secret World of Arrietty,The Clock family are four, 2010
Remember Me,A romantic drama centered on two new lovers, 2010
127 Hours,"An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.", 2010
